Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_WAVES,GRBM_COUNT,SQ_INSTS_VALU,SQ_INSTS_LDS
51,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,55,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,33990726,45432832,33554432
52,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,56,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,34796372,45432832,33554432
53,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,57,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,34799386,45432832,33554432
54,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,58,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,34857009,45432832,33554432
55,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,59,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,33671070,45432832,33554432
56,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,60,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,2157494,720896,0
57,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,62,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,31921637,45432832,33554432
58,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,64,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,871340,720896,0
59,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,66,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,31297832,45432832,33554432
60,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,68,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,831267,720896,0
61,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,70,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,32449870,45432832,33554432
62,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,72,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,838391,720896,0
63,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,74,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,31265562,45432832,33554432
64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,76,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,840993,720896,0
65,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,78,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,29960368,45432832,33554432
66,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,80,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,816667,720896,0
67,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,82,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30715297,45432832,33554432
68,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,84,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,817195,720896,0
69,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,86,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,31614782,45432832,33554432
70,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,88,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,849302,720896,0
71,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,90,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30965901,45432832,33554432
72,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,92,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,833423,720896,0
73,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,94,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30752766,45432832,33554432
74,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,96,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,845125,720896,0
75,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,98,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30435565,45432832,33554432
76,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,100,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,835950,720896,0
77,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,102,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30410024,45432832,33554432
78,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,104,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,838009,720896,0
79,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,106,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30434533,45432832,33554432
80,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,108,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,823269,720896,0
81,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,110,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,31758529,45432832,33554432
82,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,112,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,830567,720896,0
83,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,114,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30822357,45432832,33554432
84,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,116,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,822993,720896,0
85,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,118,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,32077051,45432832,33554432
86,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,120,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,875405,720896,0
87,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,122,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,32772406,45432832,33554432
88,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,124,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,842488,720896,0
89,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,126,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30439486,45432832,33554432
90,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,128,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,872606,720896,0
91,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,130,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30302633,45432832,33554432
92,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,132,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,852851,720896,0
93,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,134,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,32122168,45432832,33554432
94,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,136,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,850885,720896,0
95,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,138,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,31460705,45432832,33554432
96,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,140,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,836144,720896,0
97,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,142,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,29685917,45432832,33554432
98,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,144,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,834113,720896,0
99,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,146,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30010301,45432832,33554432
100,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,148,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,864279,720896,0
101,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,150,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30610625,45432832,33554432
102,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,152,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,846154,720896,0
103,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,154,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,31230134,45432832,33554432
104,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,156,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,846650,720896,0
105,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,158,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,31132088,45432832,33554432
106,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,160,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,865130,720896,0
107,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,162,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30624920,45432832,33554432
108,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,164,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,850918,720896,0
109,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,166,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30926467,45432832,33554432
110,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,168,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,856172,720896,0
111,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,170,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,31022614,45432832,33554432
112,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,172,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,837456,720896,0
113,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,174,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,32226021,45432832,33554432
114,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,176,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,827949,720896,0
115,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,178,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30838816,45432832,33554432
116,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,180,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,839450,720896,0
117,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,182,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30658503,45432832,33554432
118,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,184,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,852123,720896,0
119,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,186,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,31159383,45432832,33554432
120,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,188,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,834908,720896,0
121,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,190,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30306650,45432832,33554432
122,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,192,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,810814,720896,0
123,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,194,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,29386037,45432832,33554432
124,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,196,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,839331,720896,0
125,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,198,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,29430766,45432832,33554432
126,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,200,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,834977,720896,0
127,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,202,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,31002263,45432832,33554432
128,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,204,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,810702,720896,0
129,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,206,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,31351890,45432832,33554432
130,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,208,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,844292,720896,0
131,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,210,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,29971299,45432832,33554432
132,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,212,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,835110,720896,0
133,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,214,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,29864319,45432832,33554432
134,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,216,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,856040,720896,0
135,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,218,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30651221,45432832,33554432
136,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,220,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,866472,720896,0
137,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,222,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30367591,45432832,33554432
138,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,224,14204,14204,4194304,256,0,0,12,4,32,64,0x0,0x74f8dac2e300,65536,845588,720896,0
139,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,226,14204,14204,1048576,256,32768,0,68,4,32,64,0x0,0x750209078600,16384,30765613,45432832,33554432
